Size,Algorithm,Rep,Distance,Time
10,Hill Climbing,0,290.30677379181276,0.3946084976196289
10,Genetic Algorithm,0,290.3067737918128,4.6201698780059814
10,Hill Climbing,1,290.30677379181276,0.39167213439941406
10,Genetic Algorithm,1,290.3067737918128,3.1823995113372803
10,Hill Climbing,2,290.30677379181276,0.41991305351257324
10,Genetic Algorithm,2,290.3067737918128,3.1750662326812744
10,Hill Climbing,3,290.30677379181276,0.40551209449768066
10,Genetic Algorithm,3,290.3067737918128,4.3693766593933105
10,Hill Climbing,4,290.30677379181276,0.7071454524993896
10,Genetic Algorithm,4,290.3067737918128,3.174776554107666
20,Hill Climbing,0,386.42968948346993,0.7685296535491943
20,Genetic Algorithm,0,429.44650832679434,5.461748838424683
20,Hill Climbing,1,386.42968948346993,0.892073392868042
20,Genetic Algorithm,1,433.8230348109662,6.733018398284912
20,Hill Climbing,2,386.42968948347,0.7386565208435059
20,Genetic Algorithm,2,386.42968948347004,5.434548854827881
20,Hill Climbing,3,386.42968948346993,1.303739309310913
20,Genetic Algorithm,3,386.42968948347004,6.413434982299805
20,Hill Climbing,4,386.42968948346993,0.7400777339935303
20,Genetic Algorithm,4,422.38338890523175,6.024319887161255
30,Hill Climbing,0,460.70661540044796,1.8467743396759033
30,Genetic Algorithm,0,502.4602753932387,7.703871250152588
30,Hill Climbing,1,451.76700078489847,1.035987138748169
30,Genetic Algorithm,1,503.4061831398039,9.388270616531372
30,Hill Climbing,2,460.6697704104584,1.048219919204712
30,Genetic Algorithm,2,516.214609973861,9.25885534286499
30,Hill Climbing,3,451.7670007848986,1.029892921447754
30,Genetic Algorithm,3,496.6426373530907,8.60257625579834
30,Hill Climbing,4,451.76700078489847,1.6361713409423828
30,Genetic Algorithm,4,467.2688274817596,7.817714691162109
40,Hill Climbing,0,492.29360626956617,1.4244306087493896
40,Genetic Algorithm,0,550.3040497740227,11.915487051010132
40,Hill Climbing,1,491.6336811073313,1.3596692085266113
40,Genetic Algorithm,1,559.3076235667673,11.940069675445557
40,Hill Climbing,2,490.391562674545,1.4062530994415283
40,Genetic Algorithm,2,644.8169693361046,12.270960330963135
40,Hill Climbing,3,498.02245570362317,1.5590159893035889
40,Genetic Algorithm,3,576.5107460168653,11.695437908172607
40,Hill Climbing,4,495.1811151270474,1.8607697486877441
40,Genetic Algorithm,4,553.0740274046981,11.889466047286987
50,Hill Climbing,0,603.5855149517732,2.8591156005859375
50,Genetic Algorithm,0,644.0961629762014,15.423471212387085
50,Hill Climbing,1,573.0595474624835,1.727992296218872
50,Genetic Algorithm,1,693.6177384220126,15.158251523971558
50,Hill Climbing,2,588.7082019117722,1.694293737411499
50,Genetic Algorithm,2,598.8259856374119,15.145350456237793
50,Hill Climbing,3,609.2448028403753,2.3290584087371826
50,Genetic Algorithm,3,731.6550559585694,15.93439793586731
50,Hill Climbing,4,589.4635131530342,1.6833875179290771
50,Genetic Algorithm,4,714.0541218386848,15.078463315963745
